"NAME";"Kod";"global_id";"KC";
"Квалифицированные работники сельского хозяйства, производящие товарную продукцию";"61";"62855160";"8";
"Товарные производители огородных, плодовых и полевых культур";"611";"62855161";"0";
"Полеводы и овощеводы";"6111";"62855162";"4";
"Производители плодово-ягодной продукции";"6112";"62855163";"8";
"Садовники, садоводы и работники питомников по выращиванию посадочного материала";"6113";"62855164";"1";
"Производители смешанной растениеводческой продукции";"6114";"62855165";"5";
"Товарные производители продукции животноводства";"612";"62855166";"3";
"Производители мясной и молочной продукции";"6121";"62855167";"7";
"Птицеводы";"6122";"62855168";"0";
"Пчеловоды и шелководы";"6123";"62855169";"4";
"Товарные производители продукции животноводства, не входящие в другие группы";"6129";"62855170";"6";
"Товарные производители смешанной растениеводческой и животноводческой продукции";"613";"62855171";"6";
"Товарные производители смешанной растениеводческой и животноводческой продукции";"6130";"62855172";"6";
"Товарные производители лесной и рыбной продукции и охотники";"62";"62855173";"4";
"Лесоводы и работники родственных занятий";"621";"62855174";"2";
"Лесоводы и работники родственных занятий";"6210";"62855175";"2";
"Работники рыбоводства и рыболовства, охотники-стрелки и охотники-трапперы (капканщики)";"622";"62855176";"5";
"Рыбоводы и работники родственных занятий (мариводы)";"6221";"62855177";"9";
"Работники рыболовства во внутренних водоемах и прибрежных водах";"6222";"62855178";"2";
"Работники рыболовства в глубоководной зоне";"6223";"62855179";"6";
"Охотники-стрелки и охотники-трапперы (капканщики)";"6224";"62855180";"5";
"Квалифицированные работники сельского хозяйства, рыболовства, охотники и сборщики урожая, производящие продукцию для личного потребления";"63";"62855181";"1";
"Квалифицированные работники сельского хозяйства, рыболовства, охотники и сборщики урожая, производящие продукцию для личного потребления";"631";"62855182";"4";
"Квалифицированные работники сельского хозяйства, рыболовства, охотники и сборщики урожая, производящие продукцию для личного потребления";"6310";"62855183";"4";
